"sai.nm","mean.tr0","mean.tr","mean.tt0","mean.tt","tr.idx","tt.idx","comb.idx","tr0.min","tr0.max","tr.min","tr.max","tt0.min","tt0.max","tt.min","tt.max"
"PH_sai.p_act_dance","-0.10168069701099","0.309743167711305","-0.046496061288317","0.139115208918235","pos","pos","pos",-0.218007693984997,-0.00770764995309906,0.0386666081625567,0.532206624876274,-0.111377906057747,0.025373267803264,-0.0174275394642858,0.24135824026865
"PH_sai.p_act_base","-0.180467519150691","0.486957093240248","-0.16788451587799","0.464180946309675","pos","pos","pos",-0.312954043087158,-0.0168251073677156,0.117060714294248,0.870261151167958,-0.291912376594414,0.0146997867434811,0.0543062187029761,0.875546955038947
"PH_sai.p_act_basket","0","0","0","0","mixed","mixed","mixed",-0.0111166775411859,0.111997154326087,-0.184151756017969,0.0149170827754928,-0.0441921293645228,0.0857638412274647,-0.184925587305522,0.0603175843480332
"PH_sai.p_act_climb","0","0","0","0","mixed","mixed","mixed",-0.0176726578364192,0.0162732768500951,-0.269150426770977,0.163690633562569,-0.0106105938075708,0.0190221503478627,-0.125015141069836,0.365971898284591
"PH_sai.p_act_fhock","-0.00133740832042217","0.148399914318054","-0.00074564852906563","0.103390431562893","pos","pos","pos",-0.0023171829006888,-0.000526050349362047,0.0857189505771149,0.220335623120628,-0.00147107216199525,3.78880687915815e-05,0.0128576138007259,0.167122283025451
"PH_sai.p_act_fball","0.0685248875405148","-0.522094655578404","0.0668090015183988","-0.487789889906066","neg","neg","neg",0.0391435050190456,0.10544056862825,-0.857201098820203,-0.326894432215674,0.0319625535664965,0.154355069613844,-1.01630191851812,-0.231422058848367
"PH_sai.p_act_gym","-0.154574216308059","0.551332097246061","-0.228985552984941","0.810019419205285","pos","pos","pos",-0.241231500489535,0.0297394007136947,0.0398190121773026,0.995081335085876,-0.29333167949483,0.00227747858196861,0.154118794587538,1.25629586184121
"PH_sai.p_act_ihock","0","0","0","0","mixed","mixed","mixed",-0.00830760219122998,0.0200523284711846,-0.190284081165438,0.341033145515215,-0.00140007629066075,0.0117521400891188,-0.206671360178356,0.0539442580480705
"PH_sai.p_act_polo","0","0","0","0","mixed","mixed","mixed",-0.0148609097900467,0.0204560119604117,-0.097599928129099,0.42310104776001,-0.0185037671276131,0.0154423580782278,-0.204178001666919,0.315579570399225
"PH_sai.p_act_iskate","0","0","-0.0138095231752183","0.204521897488931","mixed","pos","mixed",-0.0331173959126329,0.0155596560539427,-0.0496483196439707,0.399557648897352,-0.0316494149717677,0.00603203990892456,0.056233228733797,0.335584277918448
"PH_sai.p_act_m.arts","-0.15262510030733","0.756721066821025","-0.10268659547095","0.493111313692967","pos","pos","pos",-0.244901960947248,-0.0208410278777389,0.21001632855698,1.37783098978614,-0.183615712102612,-0.0307042085134865,0.199065426859517,0.99008722308158
"PH_sai.p_act_lax","-0.00967644588148703","0.322278612516337","-0.0197913822156567","0.599221192147426","pos","pos","pos",-0.019227286407742,0.000742711166363066,0.163628338951671,0.492386850066725,-0.0289231482518608,-0.00195905867559343,0.33174949404086,0.876129118031835
"PH_sai.p_act_rugby","0","0","0","0","mixed","mixed","mixed",-4.59531216385688e-05,0.000446737165524289,-0.0301940220569293,-0.00929464789972029,-4.15025729364165e-05,6.82033297597011e-06,-0.000184845727802417,0.00303567290745564
"PH_sai.p_act_skate","0.0233320403387323","-0.44345685697661","0.0310786863185335","-0.636080829894223","neg","neg","neg",0.0100482347614092,0.0693073109968925,-0.732542887124932,-0.128034971038931,0.0158594381984501,0.0881159397202073,-1.07126243149075,-0.29086497971144
"PH_sai.p_act_sboard","-0.145014167359133","1.5777015519568","-0.0780173535145822","0.869775535082683","pos","pos","pos",-0.181082957097535,-0.0940251365352895,0.887716409173571,2.60863249831386,-0.127080727786232,-0.0120006786853662,0.374360961758593,1.35436392729505
"PH_sai.p_act_soc","-0.670293356816131","0.982465161852372","-0.592512524228232","0.81652701235817","pos","pos","pos",-0.849245615192419,-0.114251125163875,0.260406231683419,1.44833218898244,-0.816724753258497,-0.165346847070209,0.182599731422173,1.26709744427585
"PH_sai.p_act_surf","0","0","0","0","mixed","mixed","mixed",-0.000633500736023491,0.0024028938868496,-0.0476853295924151,0.023357675503548,-0.000377387652515401,0.000321181531243422,-0.00377625964276583,0.0201742585771763
"PH_sai.p_act_wpolo","0","0","0","0","mixed","mixed","mixed",-0.226099066646533,0.0907044952233316,-0.0677184003677446,0.518472930150708,-0.296571774925642,0.0153824844212252,-0.119957438997999,0.725606126568188
"PH_sai.p_act_tennis","-0.0690881010236703","0.858070354801193","-0.0529154133795061","0.784902009379998","pos","pos","pos",-0.100502368574937,-0.0356025240238597,0.390419762069081,1.17553452488133,-0.0853136628432776,0.00284065309000046,0.246163854716625,1.27300963326038
"PH_sai.p_act_run","0","0","-0.0185165695503078","0.226564598886373","mixed","pos","mixed",-0.029228663107823,0.0404954172848027,-0.105826836570388,0.522590637527167,-0.0614206133287306,0.0129058231440877,-0.0575350528161719,0.475252818641471
"PH_sai.p_act_mma","0","0","0.00553321083328068","-0.153992225055018","mixed","neg","mixed",-0.00110654929937515,0.0131594649151953,-0.258011586311908,0.0286481571167287,0.00092439503365819,0.0195768355462979,-0.392743335482974,-0.0387925124714288
"PH_sai.p_act_vball","0","0","0","0","mixed","mixed","mixed",-0.0156040769893305,0.00760433283352167,-0.0308353385021254,0.375337271834612,-0.00964107601638578,0.00610520759412663,-0.0975799977959105,0.242922414250529
"PH_sai.p_act_yoga","0","0","0","0","mixed","mixed","mixed",-0.00205549624729436,0.0215228746004573,-0.277100635239956,0.060729738126069,-0.00955883737063052,0.00604630921700249,-0.172785052513305,0.0553534955103367
"PH_sai.p_act_music","-1.25091086526391","1.84075225202663","-1.25848892336323","1.91583737101332","pos","pos","pos",-1.48480127019266,-0.865506103235224,1.11337075785221,2.35954151458352,-1.48185113374555,-0.94427525708058,1.29518776833538,2.44927858464702
"PH_sai.p_act_art","0","0","0","0","mixed","mixed","mixed",-0.059368304813483,0.0560340462986828,-0.0984391193313855,0.144301156800618,-0.106961277378885,0.0932313821308554,-0.139210356510025,0.483413341447413
"PH_sai.p_act_drama","-0.110662749289264","0.881037974176562","-0.137102767011538","1.02997690655434","pos","pos","pos",-0.179080380702689,-0.0658257776736382,0.517763445549438,1.30946523851373,-0.189727695782731,-0.0756820354013403,0.530054808260157,1.35618144401784
"PH_sai.p_act_crafts","-0.0494307373038403","0.485387994693691","0","0","pos","mixed","mixed",-0.0883839364779127,-0.0139546889048282,0.139186216556255,0.855187505178292,-0.0414216772563099,0.0442981050867228,-0.0842620732346994,0.636611407676496
"PH_sai.p_act_chess","-0.105691189498389","0.769061544457463","-0.149197628493128","1.16054268128299","pos","pos","pos",-0.14548988182365,-0.0579043472296664,0.367477248579846,1.07091832110532,-0.209938335361238,-0.0503211921079186,0.476693085358407,1.90139135697697
