"sai.nm","cbcltotal.tr.idx","cbcltotal.tt.idx","cbcltotal.comb.idx","cbcltotal.tr","cbcltotal.tt","totalcomp.tr.idx","totalcomp.tt.idx","totalcomp.comb.idx","totalcomp.tr","totalcomp.tt"
"PH_sai.p_act_dance","pos","pos","pos","-0.27164236464439","-0.660048161178359","pos","pos","pos","0.309743167711305","0.139115208918235"
"PH_sai.p_act_base","mixed","pos","mixed","0","-0.0396243110114832","pos","pos","pos","0.486957093240248","0.464180946309675"
"PH_sai.p_act_basket","pos","mixed","mixed","-0.115518372204395","0","mixed","mixed","mixed","0","0"
"PH_sai.p_act_climb","neg","mixed","mixed","0.2929280119126","0","mixed","mixed","mixed","0","0"
"PH_sai.p_act_fhock","pos","pos","pos","-0.150130345589015","-0.0720374236893985","pos","pos","pos","0.148399914318054","0.103390431562893"
"PH_sai.p_act_fball","neg","neg","neg","0.072221896413008","0.364790183098899","neg","neg","neg","-0.522094655578404","-0.487789889906066"
"PH_sai.p_act_gym","pos","pos","pos","-0.208700247647057","-0.423294935540535","pos","pos","pos","0.551332097246061","0.810019419205285"
"PH_sai.p_act_ihock","pos","pos","pos","-0.461670581094499","-0.192268578486358","mixed","mixed","mixed","0","0"
"PH_sai.p_act_polo","mixed","neg","mixed","0","0.0493770823694508","mixed","mixed","mixed","0","0"
"PH_sai.p_act_iskate","pos","mixed","mixed","-0.412608853752673","0","mixed","pos","mixed","0","0.204521897488931"
"PH_sai.p_act_m.arts","neg","neg","neg","0.771516488462643","0.771042369935097","pos","pos","pos","0.756721066821025","0.493111313692967"
"PH_sai.p_act_lax","pos","pos","pos","-0.582040855181742","-1.09187458182447","pos","pos","pos","0.322278612516337","0.599221192147426"
"PH_sai.p_act_rugby","neg","pos","mixed","0.132551030939362","-0.0950270716696266","mixed","mixed","mixed","0","0"
"PH_sai.p_act_skate","neg","neg","neg","0.236868097027637","0.439372213884055","neg","neg","neg","-0.44345685697661","-0.636080829894223"
"PH_sai.p_act_sboard","pos","pos","pos","-1.26857393300063","-0.859979757261085","pos","pos","pos","1.5777015519568","0.869775535082683"
"PH_sai.p_act_soc","pos","pos","pos","-0.118502902620903","-0.297678656232147","pos","pos","pos","0.982465161852372","0.81652701235817"
"PH_sai.p_act_surf","mixed","neg","mixed","0","0.181245903548892","mixed","mixed","mixed","0","0"
"PH_sai.p_act_wpolo","mixed","mixed","mixed","0","0","mixed","mixed","mixed","0","0"
"PH_sai.p_act_tennis","pos","pos","pos","-0.771781163111313","-0.72101078578054","pos","pos","pos","0.858070354801193","0.784902009379998"
"PH_sai.p_act_run","pos","pos","pos","-0.152059925880312","-0.14656319320203","mixed","pos","mixed","0","0.226564598886373"
"PH_sai.p_act_mma","neg","neg","neg","0.078614893830675","0.872266283620724","mixed","neg","mixed","0","-0.153992225055018"
"PH_sai.p_act_vball","pos","pos","pos","-0.887990288968125","-0.421339485913854","mixed","mixed","mixed","0","0"
"PH_sai.p_act_yoga","mixed","neg","mixed","0","0.270976893996815","mixed","mixed","mixed","0","0"
"PH_sai.p_act_music","pos","pos","pos","-0.262251511199234","-0.273708999512651","pos","pos","pos","1.84075225202663","1.91583737101332"
"PH_sai.p_act_art","mixed","mixed","mixed","0","0","mixed","mixed","mixed","0","0"
"PH_sai.p_act_drama","neg","mixed","mixed","0.0674703469085958","0","pos","pos","pos","0.881037974176562","1.02997690655434"
"PH_sai.p_act_crafts","mixed","pos","mixed","0","-0.141182638905027","pos","mixed","mixed","0.485387994693691","0"
"PH_sai.p_act_chess","pos","mixed","mixed","-0.0392084367006443","0","pos","pos","pos","0.769061544457463","1.16054268128299"
"PH_sai.p_act_collect","neg","neg","neg","0.889133380609554","0.602513970359813","mixed","mixed","mixed","0","0"
