"Model","effect","group","term","estimate","std.error","statistic","df","p.value","conf.low","conf.high","n","Outcome","SHAP.outcome"
"Baseline large-sample: life-time","fixed",NA,"pa.pos.count.cat",-1.11992854814411,0.254770859846327,-4.39582670019495,5138.27279837867,1.12577191497271e-05,-1.61938790926324,-0.620469187024976,5185,"MH_cbcl_scr_syn_totprob_r","cbcltotal"
"Baseline large-sample: life-time","fixed",NA,"pa.neg.count.cat",1.75444340569844,0.334966973722781,5.23766085414265,5178.60969723633,1.69059666329173e-07,1.09776672078637,2.41112009061051,5185,"MH_cbcl_scr_syn_totprob_r","cbcltotal"
"Baseline large-sample: life-time","fixed",NA,"pa.mixed.count.cat",0.131452212616773,0.285805184945871,0.459936416624732,5177.45204058566,0.645581173176066,-0.428846640447641,0.691751065681187,5185,"MH_cbcl_scr_syn_totprob_r","cbcltotal"
"Longitudinal large-sample: past 12 month","fixed",NA,"pa.pos.count.p12.cat",-0.313449029504489,0.122358581268407,-2.56172494201208,12349.3598037048,0.0104271398558896,-0.553290948934016,-0.0736071100749621,14233,"MH_cbcl_scr_syn_totprob_r","cbcltotal"
"Longitudinal large-sample: past 12 month","fixed",NA,"pa.neg.count.p12.cat",0.460072235611329,0.178858208864452,2.57227352623215,11501.534321146,0.0101157352602896,0.109479693334993,0.810664777887665,14233,"MH_cbcl_scr_syn_totprob_r","cbcltotal"
"Longitudinal large-sample: past 12 month","fixed",NA,"pa.mixed.count.p12.cat",0.159229619845163,0.141008755673779,1.1292179629862,11556.6836049637,0.25882933638967,-0.117171411003386,0.435630650693713,14233,"MH_cbcl_scr_syn_totprob_r","cbcltotal"
"Baseline small-sample: life-time",NA,NA,"pa.pos.count.cat",-3.03591001214,1.44863910857948,-2.09569795138071,NA,0.0370723989560453,-5.88841763788507,-0.183402386394925,271,"MH_cbcl_scr_syn_totprob_r","cbcltotal"
"Baseline small-sample: life-time",NA,NA,"pa.neg.count.cat",4.46929781720492,1.67472742220025,2.66867178381373,NA,0.00809218371823353,1.17160088594159,7.76699474846825,271,"MH_cbcl_scr_syn_totprob_r","cbcltotal"
"Baseline small-sample: life-time",NA,NA,"pa.mixed.count.cat",-0.785223699432414,1.46955255169046,-0.534328424341923,NA,0.593569169702834,-3.67891187566886,2.10846447680403,271,"MH_cbcl_scr_syn_totprob_r","cbcltotal"
"Longitudinal small-sample: past 12 month","fixed",NA,"pa.pos.count.p12.cat",0.434218549447094,0.60420889728959,0.718656331270438,619.110913576011,0.472623827794308,-0.752328754711988,1.62076585360618,721,"MH_cbcl_scr_syn_totprob_r","cbcltotal"
"Longitudinal small-sample: past 12 month","fixed",NA,"pa.neg.count.p12.cat",1.82739243844654,0.839249022965291,2.17741384075715,557.71870582485,0.0298681522642133,0.17891718370821,3.47586769318487,721,"MH_cbcl_scr_syn_totprob_r","cbcltotal"
"Longitudinal small-sample: past 12 month","fixed",NA,"pa.mixed.count.p12.cat",-0.502325864618338,0.650851817043509,-0.771797591193876,540.858953056973,0.440571396514809,-1.78083298857024,0.77618125933356,721,"MH_cbcl_scr_syn_totprob_r","cbcltotal"
