"Model","effect","group","term","estimate","std.error","statistic","df","p.value","conf.low","conf.high","n","Outcome","SHAP.outcome"
"Baseline large-sample: life-time","fixed",NA,"pa.pos.time",-0.166468889041889,0.0425510708462187,-3.91221385810747,5078.61495651107,9.26487737093057e-05,-0.249887336087016,-0.0830504419967631,5185,"MH_cbcl_scr_syn_totprob_r","cbcltotal"
"Baseline large-sample: life-time","fixed",NA,"pa.neg.time",0.421630288558461,0.0790863381506325,5.3312657839259,5138.9605236011,1.01701362556768e-07,0.266587397451112,0.57667317966581,5185,"MH_cbcl_scr_syn_totprob_r","cbcltotal"
"Baseline large-sample: life-time","fixed",NA,"pa.mixed.time",-0.0182716148781663,0.0535407549995784,-0.341265543945172,5157.13172901102,0.732917587504886,-0.123234200715501,0.0866909709591681,5185,"MH_cbcl_scr_syn_totprob_r","cbcltotal"
"Longitudinal large-sample: past 12 month","fixed",NA,"pa.pos.time.p12",-0.0722380789872536,0.0260343879223644,-2.77471777722105,12183.5003058973,0.00553337934109254,-0.123269611372145,-0.0212065466023627,14233,"MH_cbcl_scr_syn_totprob_r","cbcltotal"
"Longitudinal large-sample: past 12 month","fixed",NA,"pa.neg.time.p12",0.181712332580958,0.0480547000506469,3.78136441158605,11647.1643683108,0.000156750588970538,0.0875170625083485,0.275907602653568,14233,"MH_cbcl_scr_syn_totprob_r","cbcltotal"
"Longitudinal large-sample: past 12 month","fixed",NA,"pa.mixed.time.p12",0.00763542432606567,0.0308903064230741,0.24717865279453,11603.6023482272,0.804774338429415,-0.0529147796783108,0.0681856283304421,14233,"MH_cbcl_scr_syn_totprob_r","cbcltotal"
"Baseline small-sample: life-time",NA,NA,"pa.pos.time",-0.703262948596545,0.219959227824919,-3.19724230508903,NA,0.0015585136406301,-1.13638350361099,-0.270142393582099,271,"MH_cbcl_scr_syn_totprob_r","cbcltotal"
"Baseline small-sample: life-time",NA,NA,"pa.neg.time",0.595123805132689,0.360876582543675,1.64910618732282,NA,0.100328931367063,-0.115476369584445,1.30572397984982,271,"MH_cbcl_scr_syn_totprob_r","cbcltotal"
"Baseline small-sample: life-time",NA,NA,"pa.mixed.time",0.124568988378461,0.272536123219149,0.457073311629569,NA,0.64799854799113,-0.412080453963284,0.661218430720205,271,"MH_cbcl_scr_syn_totprob_r","cbcltotal"
"Longitudinal small-sample: past 12 month","fixed",NA,"pa.pos.time.p12",-0.153689990133028,0.121834521848383,-1.26146504128188,586.104331827741,0.207643174671476,-0.392975395750655,0.0855954154845984,721,"MH_cbcl_scr_syn_totprob_r","cbcltotal"
"Longitudinal small-sample: past 12 month","fixed",NA,"pa.neg.time.p12",0.259699277693329,0.221093588784023,1.17461243051701,592.358686299679,0.240621780174423,-0.174523407754942,0.693921963141601,721,"MH_cbcl_scr_syn_totprob_r","cbcltotal"
"Longitudinal small-sample: past 12 month","fixed",NA,"pa.mixed.time.p12",0.123296718934048,0.143299743194741,0.860411304202343,552.633379832333,0.389935472676371,-0.158182081370108,0.404775519238204,721,"MH_cbcl_scr_syn_totprob_r","cbcltotal"
