"Model","effect","group","term","estimate","std.error","statistic","df","p.value","conf.low","conf.high","n","Outcome","SHAP.outcome"
"Baseline large-sample: life time count cat","fixed",NA,"pa.pos.count.cat",0.703104837738102,0.192626933184579,3.65008582192591,5022.37806462425,0.000264817629107263,0.32547197923514,1.08073769624106,5185,"NC_nihtbx_totalcomp_uncorrected","totalcomp"
"Baseline large-sample: life time count cat","fixed",NA,"pa.neg.count.cat",-1.48556769895519,0.293501238848067,-5.06153808680926,5158.89316494844,4.30331829645219e-07,-2.06095455158677,-0.910180846323609,5185,"NC_nihtbx_totalcomp_uncorrected","totalcomp"
"Baseline large-sample: life time count cat","fixed",NA,"pa.mixed.count.cat",0.180353692707159,0.114878028084925,1.56995811743766,5140.25183348938,0.116486405239003,-0.0448561344439144,0.405563519858232,5185,"NC_nihtbx_totalcomp_uncorrected","totalcomp"
"Baseline large-sample: life time count cat","fixed",NA,"pa.pos.count.cat:family_income_recode_l_binary<100k",0.748564300390215,0.226938156464108,3.29853873871848,4990.26761871702,0.000978705139223938,0.303665779515427,1.193462821265,5185,"NC_nihtbx_totalcomp_uncorrected","totalcomp"
"Baseline large-sample: life time count cat - no interaction","fixed",NA,"pa.pos.count.cat",1.21132972972693,0.115488600446244,10.4887384992666,5059.07312612348,1.77373386110374e-25,0.984922065244395,1.43773739420947,5185,"NC_nihtbx_totalcomp_uncorrected","totalcomp"
"Baseline large-sample: life time count cat - no interaction","fixed",NA,"pa.neg.count.cat",-1.47175073754627,0.293754599307284,-5.01013683195725,5160.28691706167,5.62059031236866e-07,-2.04763424758448,-0.895867227508056,5185,"NC_nihtbx_totalcomp_uncorrected","totalcomp"
"Baseline large-sample: life time count cat - no interaction","fixed",NA,"pa.mixed.count.cat",0.191071023298556,0.114946615341927,1.66225880362101,5141.72793658603,0.0965218490134184,-0.0342732488305041,0.416415295427616,5185,"NC_nihtbx_totalcomp_uncorrected","totalcomp"
"Baseline large-sample: life time count cat >=100k","fixed",NA,"pa.pos.count.cat",0.673086500788314,0.187942029900116,3.58135166011581,2097.47499580278,0.000349600937910433,0.304514205517756,1.04165879605887,2190,"NC_nihtbx_totalcomp_uncorrected","totalcomp"
"Baseline large-sample: life time count cat >=100k","fixed",NA,"pa.neg.count.cat",-1.26263064895903,0.450756642388492,-2.80113597942459,2151.06634311425,0.00513785013716891,-2.14659481910513,-0.378666478812921,2190,"NC_nihtbx_totalcomp_uncorrected","totalcomp"
"Baseline large-sample: life time count cat >=100k","fixed",NA,"pa.mixed.count.cat",0.136348793954885,0.16001535848713,0.852098168850781,2131.11670210056,0.394255352260846,-0.177453767638355,0.450151355548125,2190,"NC_nihtbx_totalcomp_uncorrected","totalcomp"
"Baseline large-sample: life time count cat <100k","fixed",NA,"pa.pos.count.cat",1.40672236182803,0.148235584868687,9.48977509735037,2939.76401544529,4.62038796387045e-21,1.11606628568007,1.69737843797599,2995,"NC_nihtbx_totalcomp_uncorrected","totalcomp"
"Baseline large-sample: life time count cat <100k","fixed",NA,"pa.neg.count.cat",-1.55765175136252,0.386931871287426,-4.02564861400482,2984.25772065118,5.82320564247771e-05,-2.31633198935879,-0.798971513366253,2995,"NC_nihtbx_totalcomp_uncorrected","totalcomp"
"Baseline large-sample: life time count cat <100k","fixed",NA,"pa.mixed.count.cat",0.197008941366285,0.162210926382964,1.21452324919942,2982.65342598599,0.224644121743362,-0.121047699153257,0.515065581885827,2995,"NC_nihtbx_totalcomp_uncorrected","totalcomp"
"Baseline small-sample: life time count cat",NA,NA,"pa.pos.count.cat",-0.365700738286596,1.06925401255283,-0.34201483837642,NA,0.732616014867334,-2.47120089561764,1.73979941904444,271,"NC_nihtbx_totalcomp_uncorrected","totalcomp"
"Baseline small-sample: life time count cat",NA,NA,"pa.neg.count.cat",0.9317861051416,1.18853279347213,0.78398013942848,NA,0.43376539371787,-1.40858947846185,3.27216168874505,271,"NC_nihtbx_totalcomp_uncorrected","totalcomp"
"Baseline small-sample: life time count cat",NA,NA,"pa.mixed.count.cat",-0.663940967443622,0.541543244582933,-1.22601652607624,NA,0.221301726026761,-1.73031001846889,0.402428083581648,271,"NC_nihtbx_totalcomp_uncorrected","totalcomp"
"Baseline small-sample: life time count cat",NA,NA,"pa.pos.count.cat:family_income_recode_l_binary<100k",2.67883104558938,1.16290953679936,2.3035592716543,NA,0.0220366827451922,0.388910985484075,4.96875110569468,271,"NC_nihtbx_totalcomp_uncorrected","totalcomp"
"Baseline small-sample: life time count cat >=100k",NA,NA,"pa.pos.count.cat",0.44562591628695,1.16195450945353,0.383514081370129,NA,0.702223456320079,-1.86211603585837,2.75336786843228,101,"NC_nihtbx_totalcomp_uncorrected","totalcomp"
"Baseline small-sample: life time count cat >=100k",NA,NA,"pa.neg.count.cat",0.671712349609298,1.87538791193356,0.358172485454889,NA,0.721034749629606,-3.05296992125749,4.39639462047609,101,"NC_nihtbx_totalcomp_uncorrected","totalcomp"
"Baseline small-sample: life time count cat >=100k",NA,NA,"pa.mixed.count.cat",-0.680842888038307,0.862014508221377,-0.789827643902552,NA,0.431659450640911,-2.39287810783014,1.03119233175353,101,"NC_nihtbx_totalcomp_uncorrected","totalcomp"
"Baseline small-sample: life time count cat <100k",NA,NA,"pa.pos.count.cat",2.27259245724633,0.649759987892282,3.49758757017074,NA,0.000607025036346928,0.989441175460116,3.55574373903255,170,"NC_nihtbx_totalcomp_uncorrected","totalcomp"
"Baseline small-sample: life time count cat <100k",NA,NA,"pa.neg.count.cat",0.0982982914104614,1.60550913175255,0.0612256196283109,NA,0.9512554642107,-3.07227413335586,3.26887071617678,170,"NC_nihtbx_totalcomp_uncorrected","totalcomp"
"Baseline small-sample: life time count cat <100k",NA,NA,"pa.mixed.count.cat",-0.742716680417954,0.709905644834447,-1.04621886841195,NA,0.29702816653287,-2.14464409221729,0.65921073138138,170,"NC_nihtbx_totalcomp_uncorrected","totalcomp"
