"Model","effect","group","term","estimate","std.error","statistic","df","p.value","conf.low","conf.high","n","Outcome","SHAP.outcome"
"Baseline large-sample: life time","fixed",NA,"pa.pos.time",0.109336228752581,0.0222216823966042,4.92024981732656,4901.55728209178,8.92639928203234e-07,0.0657717740479688,0.152900683457192,5185,"NC_nihtbx_totalcomp_uncorrected","totalcomp"
"Baseline large-sample: life time","fixed",NA,"pa.neg.time",-0.304339879425721,0.0641396322347981,-4.74495828587875,5154.30613874762,2.14183793035513e-06,-0.430080775691551,-0.17859898315989,5185,"NC_nihtbx_totalcomp_uncorrected","totalcomp"
"Baseline large-sample: life time","fixed",NA,"pa.mixed.time",0.0196781687639517,0.0225545890221081,0.872468513820541,5081.69113787646,0.38299405880742,-0.0245385449649207,0.0638948824928242,5185,"NC_nihtbx_totalcomp_uncorrected","totalcomp"
"Baseline large-sample: life time","fixed",NA,"pa.pos.time:family_income_recode_l_binary<100k",0.16384399330151,0.0299341029182748,5.47348934253456,4864.35291853576,4.63405642129606e-08,0.105159627692306,0.222528358910714,5185,"NC_nihtbx_totalcomp_uncorrected","totalcomp"
"Baseline large-sample: life time - no interaction","fixed",NA,"pa.pos.time",0.189318024323273,0.0167565376229127,11.2981588788607,4957.44064556509,3.04401951765557e-29,0.156467793689447,0.2221682549571,5185,"NC_nihtbx_totalcomp_uncorrected","totalcomp"
"Baseline large-sample: life time - no interaction","fixed",NA,"pa.neg.time",-0.295346716870723,0.0643049317460812,-4.59290926607229,5157.61354105586,4.47510424187129e-06,-0.421411651334147,-0.169281782407298,5185,"NC_nihtbx_totalcomp_uncorrected","totalcomp"
"Baseline large-sample: life time - no interaction","fixed",NA,"pa.mixed.time",0.0277294236526584,0.022577599230252,1.22818300430736,5087.33878492298,0.219435094487405,-0.0165323882936103,0.071991235598927,5185,"NC_nihtbx_totalcomp_uncorrected","totalcomp"
"Baseline large-sample: life time >=100k","fixed",NA,"pa.pos.time",0.107321064715927,0.0220169746427578,4.87446919739396,2060.17100852269,1.17437647623444e-06,0.064143220341012,0.150498909090842,2190,"NC_nihtbx_totalcomp_uncorrected","totalcomp"
"Baseline large-sample: life time >=100k","fixed",NA,"pa.neg.time",-0.283468964657336,0.0968788629524196,-2.92601457137825,2153.74277883526,0.00346928486019989,-0.47345481451,-0.0934831148046722,2190,"NC_nihtbx_totalcomp_uncorrected","totalcomp"
"Baseline large-sample: life time >=100k","fixed",NA,"pa.mixed.time",0.00532625075032377,0.0307578942897699,0.173166950251704,2125.691756062,0.862536687917878,-0.054992459317756,0.0656449608184035,2190,"NC_nihtbx_totalcomp_uncorrected","totalcomp"
